path,filename,languages,media,date,pid,designType,activityType,groupType
childes/Eng-NA/Brown/Sarah/040522,040522,eng,,1966-01-14,11312/c-00015816-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040529,040529,eng,,1966-01-21,11312/c-00015817-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040605,040605,eng,,1966-01-28,11312/c-00015818-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040610,040610,eng,,1966-02-04,11312/c-00015819-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040617,040617,eng,,,11312/c-00015820-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040624,040624,eng,,1966-02-16,11312/c-00015821-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040700,040700,eng,,1966-02-23,11312/c-00015822-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040711,040711,eng,,1966-03-03,11312/c-00015823-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040717,040717,eng,,,11312/c-00015824-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040724,040724,eng,,1966-03-16,11312/c-00015825-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040807,040807,eng,,1966-03-30,11312/c-00015826-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040813,040813,eng,,1966-04-06,11312/c-00015827-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040820,040820,eng,,,11312/c-00015828-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040904,040904,eng,,,11312/c-00015829-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040912,040912,eng,,1966-05-04,11312/c-00015830-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040919,040919,eng,,1966-05-11,11312/c-00015831-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/040926,040926,eng,,1966-05-18,11312/c-00015832-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/041006,041006,eng,,1966-05-29,11312/c-00015833-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/041021,041021,eng,,1966-06-13,11312/c-00015834-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/041027,041027,eng,,,11312/c-00015835-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/041104,041104,eng,,,11312/c-00015836-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/041113,041113,eng,,,11312/c-00015837-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/041119,041119,eng,,1966-07-11,11312/c-00015838-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/041126,041126,eng,,1966-07-18,11312/c-00015839-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/050002,050002,eng,,1966-07-25,11312/c-00015840-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/050010,050010,eng,,1966-08-02,11312/c-00015841-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/050016,050016,eng,,,11312/c-00015842-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/050025,050025,eng,,,11312/c-00015843-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/050030,050030,eng,,1966-08-22,11312/c-00015844-1,long,toyplay,TD
childes/Eng-NA/Brown/Sarah/050106,050106,eng,,1966-08-29,11312/c-00015845-1,long,toyplay,TD
childes/Eng-NA/Champaign/21P/01G,01G,eng,,,11312/a-00081946-1,,,
childes/Eng-NA/Champaign/21P/03G,03G,eng,,2009-06-01,11312/a-00081947-1,,,
childes/Eng-NA/Champaign/21P/05G,05G,eng,,2009-03-01,11312/a-00081948-1,,,
childes/Eng-NA/Champaign/21P/06B,06B,eng,,2009-02-01,11312/a-00081949-1,,,
childes/Eng-NA/Champaign/21P/08G,08G,eng,,2009-04-01,11312/a-00081950-1,,,
childes/Eng-NA/Champaign/21P/09G,09G,eng,,2009-06-01,11312/a-00081951-1,,,
childes/Eng-NA/Champaign/21P/10G,10G,eng,,2009-03-01,11312/a-00081952-1,,,
childes/Eng-NA/Champaign/21P/11B,11B,eng,,2009-02-01,11312/a-00081953-1,,,
childes/Eng-NA/Champaign/21P/12G,12G,eng,,2009-05-01,11312/a-00081954-1,,,
childes/Eng-NA/Champaign/21P/13B,13B,eng,,2009-07-01,11312/a-00081955-1,,,
childes/Eng-NA/Champaign/21P/18B,18B,eng,,2009-03-01,11312/a-00081956-1,,,
childes/Eng-NA/Champaign/21P/19G,19G,eng,,2009-03-01,11312/a-00081957-1,,,
childes/Eng-NA/Champaign/21P/20G,20G,eng,,2009-04-01,11312/a-00081958-1,,,
childes/Eng-NA/Champaign/21P/21B,21B,eng,,2009-05-01,11312/a-00081959-1,,,
childes/Eng-NA/Champaign/21P/22B,22B,eng,,2009-04-01,11312/a-00081960-1,,,
childes/Eng-NA/Champaign/21P/25G,25G,eng,,2009-06-01,11312/a-00081961-1,,,
childes/Eng-NA/Champaign/21P/26B,26B,eng,,2009-05-01,11312/a-00081962-1,,,
childes/Eng-NA/Champaign/21P/28G,28G,eng,,2009-06-01,11312/a-00081963-1,,,
childes/Eng-NA/Champaign/21P/30B,30B,eng,,2009-06-01,11312/a-00081964-1,,,
childes/Eng-NA/Champaign/21P/33B,33B,eng,,2009-09-01,11312/a-00081965-1,,,
childes/Eng-NA/Champaign/21P/35G,35G,eng,,2009-05-01,11312/a-00081966-1,,,
childes/Eng-NA/Champaign/21P/36B,36B,eng,,2009-06-01,11312/a-00081967-1,,,
childes/Eng-NA/Champaign/21P/38G,38G,eng,,2010-03-01,11312/a-00081968-1,,,
childes/Eng-NA/Champaign/21P/39B,39B,eng,,2009-11-01,11312/a-00081969-1,,,
childes/Eng-NA/Champaign/21P/40B,40B,eng,,2010-03-01,11312/a-00081970-1,,,
childes/Eng-NA/Champaign/21P/41G,41G,eng,,2009-12-01,11312/a-00081971-1,,,
childes/Eng-NA/Champaign/21P/42B,42B,eng,,2010-04-01,11312/a-00081972-1,,,
childes/Eng-NA/Champaign/21P/43B,43B,eng,,2010-04-01,11312/a-00081973-1,,,
childes/Eng-NA/Champaign/21P/44B,44B,eng,,2010-03-01,11312/a-00081974-1,,,
childes/Eng-NA/Champaign/21P/45G,45G,eng,,2010-05-01,11312/a-00081975-1,,,
childes/Eng-NA/Champaign/21P/46G,46G,eng,,2010-03-01,11312/a-00081976-1,,,
childes/Eng-NA/Champaign/21P/47B,47B,eng,,2010-04-01,11312/a-00081977-1,,,
childes/Eng-NA/Champaign/21P/48B,48B,eng,,2010-06-01,11312/a-00081978-1,,,
childes/Eng-NA/Champaign/21P/49G,49G,eng,,2010-06-01,11312/a-00081979-1,,,
childes/Eng-NA/Champaign/21P/50B,50B,eng,,2010-03-01,11312/a-00081980-1,,,
childes/Eng-NA/Champaign/21P/51G,51G,eng,,1910-02-01,11312/a-00081981-1,,,
childes/Eng-NA/Champaign/21P/53G,53G,eng,,2010-02-01,11312/a-00081982-1,,,
childes/Eng-NA/Champaign/21P/54B,54B,eng,,2010-09-01,11312/a-00081983-1,,,
childes/Eng-NA/Champaign/21P/55G,55G,eng,,2010-03-01,11312/a-00081984-1,,,
childes/Eng-NA/Champaign/21P/57B,57B,eng,,2010-04-01,11312/a-00081985-1,,,
childes/Eng-NA/Champaign/21P/58G,58G,eng,,2010-09-01,11312/a-00081986-1,,,
childes/Eng-NA/Champaign/21P/59B,59B,eng,,2010-09-01,11312/a-00081987-1,,,
childes/Eng-NA/Champaign/21P/60G,60G,eng,,2010-09-01,11312/a-00081988-1,,,
childes/Eng-NA/Champaign/21P/61B,61B,eng,,2010-10-01,11312/a-00081989-1,,,
childes/Eng-NA/Champaign/21X/01G,01G,eng,,2009-02-01,11312/a-00081474-1,,,
childes/Eng-NA/Champaign/21X/03G,03G,eng,,2009-06-01,11312/a-00081475-1,,,
childes/Eng-NA/Champaign/21X/05G,05G,eng,,2009-03-01,11312/a-00081476-1,,,
childes/Eng-NA/Champaign/21X/06B,06B,eng,,2009-02-01,11312/a-00081477-1,,,
childes/Eng-NA/Champaign/21X/08G,08G,eng,,2009-04-01,11312/a-00081478-1,,,
childes/Eng-NA/Champaign/21X/09G,09G,eng,,2009-06-01,11312/a-00081479-1,,,
childes/Eng-NA/Champaign/21X/10G,10G,eng,,2009-03-01,11312/a-00081480-1,,,
