filename,path,who,name,role,language,monthage,age,sex,numwords,numutts,avgutt,medianutt
nanst,childes/Eng-NA/Bates/Story28/nanst,INV,,Investigator,eng,,,,63,12,5.25,5
nanst,childes/Eng-NA/Bates/Story28/nanst,MOT,,Mother,eng,,,female,587,157,3.7388535,3
nanst,childes/Eng-NA/Bates/Story28/nanst,CHI,,Target_Child,eng,28.0,2;04.00,female,120,69,1.7391304,1
oliviast,childes/Eng-NA/Bates/Story28/oliviast,MOT,,Mother,eng,,,female,401,110,3.6454546,4
oliviast,childes/Eng-NA/Bates/Story28/oliviast,CHI,,Target_Child,eng,28.0,2;04.00,female,131,57,2.2982457,2
oliviast,childes/Eng-NA/Bates/Story28/oliviast,INV,,Investigator,eng,,,,35,5,7.0,5
paulast,childes/Eng-NA/Bates/Story28/paulast,INV,,Investigator,eng,,,,46,13,3.5384614,3
paulast,childes/Eng-NA/Bates/Story28/paulast,CHI,,Target_Child,eng,28.0,2;04.00,female,111,71,1.5633802,1
paulast,childes/Eng-NA/Bates/Story28/paulast,MOT,,Mother,eng,,,female,395,112,3.5267856,3
petest,childes/Eng-NA/Bates/Story28/petest,CHI,,Target_Child,eng,28.0,2;04.00,male,41,18,2.2777777,2
petest,childes/Eng-NA/Bates/Story28/petest,INV,,Investigator,eng,,,,76,15,5.0666666,5
petest,childes/Eng-NA/Bates/Story28/petest,MOT,,Mother,eng,,,female,216,55,3.9272728,3
petest,childes/Eng-NA/Bates/Story28/petest,FAT,,Father,eng,,,male,38,12,3.1666667,3
rickst,childes/Eng-NA/Bates/Story28/rickst,INV,,Investigator,eng,,,,37,10,3.7,3
rickst,childes/Eng-NA/Bates/Story28/rickst,CHI,,Target_Child,eng,28.0,2;04.00,male,18,12,1.5,1
rickst,childes/Eng-NA/Bates/Story28/rickst,MOT,,Mother,eng,,,female,30,11,2.7272727,2
ruthst,childes/Eng-NA/Bates/Story28/ruthst,INV,,Investigator,eng,,,,21,5,4.2,2
ruthst,childes/Eng-NA/Bates/Story28/ruthst,MOT,,Mother,eng,,,female,407,112,3.6339285,3
ruthst,childes/Eng-NA/Bates/Story28/ruthst,CHI,,Target_Child,eng,28.0,2;04.00,female,69,46,1.5,1
stevest,childes/Eng-NA/Bates/Story28/stevest,CHI,,Target_Child,eng,28.0,2;04.00,male,120,56,2.142857,2
stevest,childes/Eng-NA/Bates/Story28/stevest,MOT,,Mother,eng,,,female,287,84,3.4166667,4
stevest,childes/Eng-NA/Bates/Story28/stevest,INV,,Investigator,eng,,,,15,5,3.0,3
suest,childes/Eng-NA/Bates/Story28/suest,INV,,Investigator,eng,,,,15,3,5.0,3
suest,childes/Eng-NA/Bates/Story28/suest,CHI,,Target_Child,eng,28.0,2;04.00,female,121,52,2.3269231,2
suest,childes/Eng-NA/Bates/Story28/suest,MOT,,Mother,eng,,,female,338,97,3.4845362,3
wandast,childes/Eng-NA/Bates/Story28/wandast,INV,,Investigator,eng,,,,72,13,5.5384617,6
wandast,childes/Eng-NA/Bates/Story28/wandast,MOT,,Mother,eng,,,female,279,67,4.1641793,4
wandast,childes/Eng-NA/Bates/Story28/wandast,CHI,,Target_Child,eng,28.0,2;04.00,female,152,51,2.9803922,2
willst,childes/Eng-NA/Bates/Story28/willst,MOT,,Mother,eng,,,female,459,129,3.5581396,3
willst,childes/Eng-NA/Bates/Story28/willst,CHI,,Target_Child,eng,28.0,2;04.00,male,103,67,1.5373135,1
willst,childes/Eng-NA/Bates/Story28/willst,INV,,Investigator,eng,,,,6,1,6.0,6
zekest,childes/Eng-NA/Bates/Story28/zekest,MOT,,Mother,eng,,,female,235,62,3.7903225,3
zekest,childes/Eng-NA/Bates/Story28/zekest,CHI,,Target_Child,eng,28.0,2;04.00,male,56,30,1.8666667,1
zekest,childes/Eng-NA/Bates/Story28/zekest,INV,,Investigator,eng,,,,5,2,2.5,3
